,node,unw_in_deg,unw_out_deg,unw_betweenness,unw_closeness,unw_pagerank,trx_in_deg,trx_out_deg,trx_betweenness,trx_closeness,trx_pagerank,amt_in_deg,amt_out_deg,amt_betweenness,amt_closeness,amt_pagerank
0,N4929|B2,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,424072193.5,0.0,0.0,4.8939194727451286e-05
1,N1|B1,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,424072193.5,0.0,0.0,33844.54856344772,9.0826772344511e-05
2,N4930|B3,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,1200000000.0,0.0,0.0,4.8939194727451286e-05
3,N2|B1,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,1200000000.0,0.0,0.0,95770.15163607341,9.0826772344511e-05
4,N4931|B4,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,500000000.0,0.0,0.0,4.8939194727451286e-05
5,N3|B1,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,500000000.0,0.0,0.0,39904.22984836392,9.0826772344511e-05
6,N2411|B5,0,3,0.0,0.0,4.9200840533819036e-05,0,4,0.0,0.0,4.909014822591398e-05,0.0,23900000000.0,0.0,0.0,4.8939194727451286e-05
7,N4|B1,1,0,0.0,7.980845969672785e-05,6.322679713749593e-05,1,0,0.0,7.980845969672785e-05,5.958936402120492e-05,5500000000.0,0.0,0.0,438946.52833200316,5.8578595434306035e-05
8,N5|B4,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,125000000.0,0.0,0.0,4.8939194727451286e-05
9,N5|B1,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,125000000.0,0.0,0.0,9976.05746209098,9.0826772344511e-05
10,N6|B4,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,14798994769.0,0.0,0.0,4.8939194727451286e-05
11,N6|B1,1,1,6.369898610960799e-09,7.980845969672785e-05,9.12787103448497e-05,1,1,6.369898610960799e-09,7.980845969672785e-05,9.108701140707776e-05,14798994769.0,1000000000.0,6.369898610960799e-09,1181084.9775738227,9.0826772344511e-05
12,N4932|B4,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,1314634750.0,0.0,0.0,4.8939194727451286e-05
13,N7|B1,1,0,0.0,7.980845969672785e-05,9.12787103448497e-05,1,0,0.0,7.980845969672785e-05,9.108701140707776e-05,1314634750.0,0.0,0.0,104918.97446129289,9.0826772344511e-05
14,N4933|B6,0,1,0.0,0.0,4.9200840533819036e-05,0,1,0.0,0.0,4.909014822591398e-05,0.0,1800000000.0,0.0,0.0,4.8939194727451286e-05
