source,target,amount_tx_idr,trx,type
N4929 (B2),N1 (B1),424072193.5,1,INCOMING
N4930 (B3),N2 (B1),1200000000.0,1,INCOMING
N4931 (B4),N3 (B1),500000000.0,1,INCOMING
N2411 (B5),N4 (B1),5500000000.0,1,INCOMING
N5 (B4),N5 (B1),125000000.0,1,INCOMING
N6 (B4),N6 (B1),14798994769.0,1,INCOMING
N4932 (B4),N7 (B1),1314634750.0,1,INCOMING
N4933 (B6),N8 (B1),1800000000.0,1,INCOMING
N4934 (B3),N9 (B1),4348320800.0,3,INCOMING
N4935 (B3),N10 (B1),730500000.0,1,INCOMING
N4936 (B7),N11 (B1),800000000.0,2,INCOMING
N4936 (B7),N11 (B1),800000000.0,2,INCOMING
N12 (B8),N12 (B1),27800000000.0,2,INCOMING
N4937 (B4),N13 (B1),4316875177.0,2,INCOMING
N4938 (B9),N13 (B1),442457858.0,1,INCOMING
N14 (B3),N14 (B1),813600000.0,4,INCOMING
N15 (B10),N15 (B1),56000000000.0,3,INCOMING
N4939 (B4),N15 (B1),7000000000.0,3,INCOMING
N15 (B11),N15 (B1),5400000000.0,1,INCOMING
N4940 (B12),N15 (B1),321346505.0,1,INCOMING
N4941 (B3),N15 (B1),126301344.0,1,INCOMING
N15 (B13),N15 (B1),3000000000.0,1,INCOMING
N3984 (B14),N15 (B1),238399049.0,2,INCOMING
N4942 (B15),N16 (B1),3000000000.0,1,INCOMING
N17 (B11),N17 (B1),5900000000.0,6,INCOMING
N4943 (B3),N18 (B1),2580000000.0,1,INCOMING
N4944 (B16),N19 (B1),168471625.0,1,INCOMING
N4945 (B17),N20 (B1),2650000000.0,2,INCOMING
N4946 (B4),N21 (B1),2000000000.0,1,INCOMING
N4947 (B18),N22 (B1),429940000.0,2,INCOMING
N23 (B4),N23 (B1),8570000000.0,4,INCOMING
N23 (B19),N23 (B1),850000000.0,1,INCOMING
N24 (B14),N24 (B1),1200000000.0,1,INCOMING
N4948 (B9),N25 (B1),1600000000.0,1,INCOMING
N26 (B4),N26 (B1),800000000.0,1,INCOMING
N4949 (B11),N27 (B1),818000000.0,1,INCOMING
N4950 (B4),N28 (B1),741000000.0,1,INCOMING
N4751 (B14),N29 (B1),153360000.0,1,INCOMING
N4951 (B4),N30 (B1),990458586.0,1,INCOMING
N4952 (B4),N30 (B1),1097960261.0,1,INCOMING
N113 (B4),N31 (B1),3816000000.0,2,INCOMING
N31 (B20),N31 (B1),13180000000.0,2,INCOMING
N4953 (B21),N32 (B1),321411600.0,1,INCOMING
N4954 (B21),N32 (B1),200000000.0,1,INCOMING
N33 (B4),N33 (B1),6500000000.0,3,INCOMING
N33 (B4),N33 (B1),6500000000.0,3,INCOMING
N4955 (B3),N34 (B1),1000000000.0,1,INCOMING
N4956 (B3),N34 (B1),9800000000.0,1,INCOMING
N34 (B7),N34 (B1),6247000000.0,1,INCOMING
N35 (B3),N35 (B1),1100000000.0,1,INCOMING
N35 (B4),N35 (B1),1030000000.0,1,INCOMING
N4957 (B16),N36 (B1),384390435.0,1,INCOMING
N4958 (B10),N36 (B1),1253854854.0,1,INCOMING
N4959 (B4),N37 (B1),959500000.0,1,INCOMING
N38 (B4),N38 (B1),300000000.0,1,INCOMING
N39 (B4),N39 (B1),3246300000.0,7,INCOMING
N4960 (B3),N40 (B1),158598074.0,1,INCOMING
N4961 (B10),N41 (B1),614953660.0,1,INCOMING
N42 (B9),N42 (B1),27699000000.0,10,INCOMING
N42 (B9),N42 (B1),27699000000.0,10,INCOMING
N4962 (B10),N43 (B1),2100000000.0,1,INCOMING
N4963 (B13),N44 (B1),220000000.0,1,INCOMING
N4964 (B3),N44 (B1),251275689.0,1,INCOMING
N4965 (B17),N45 (B1),1500000000.0,2,INCOMING
N4966 (B22),N45 (B1),201337087.0,1,INCOMING
N46 (B3),N46 (B1),4500000000.0,2,INCOMING
N46 (B18),N46 (B1),11000000000.0,3,INCOMING
N1424 (B14),N47 (B1),116283178.0,1,INCOMING
N4967 (B9),N47 (B1),558472584.0,1,INCOMING
N47 (B4),N47 (B1),1000000000.0,1,INCOMING
N4968 (B16),N47 (B1),136693920.0,1,INCOMING
N48 (B4),N48 (B1),6200000000.0,2,INCOMING
N4969 (B22),N49 (B1),3938027200.0,3,INCOMING
N50 (B4),N50 (B1),1300000000.0,1,INCOMING
N4970 (B5),N51 (B1),2000000000.0,1,INCOMING
N52 (B23),N52 (B1),36097721096.0,4,INCOMING
N52 (B3),N52 (B1),5500000000.0,2,INCOMING
N4971 (B11),N52 (B1),334656633.0,2,INCOMING
N4972 (B10),N53 (B1),3981410730.0,1,INCOMING
N4973 (B13),N53 (B1),5553945868.0,1,INCOMING
N4974 (B14),N53 (B1),708911756.0,1,INCOMING
N4975 (B10),N53 (B1),1713411605.0,1,INCOMING
N4976 (B10),N53 (B1),2803013050.0,1,INCOMING
N53 (B20),N54 (B1),581947183.0,1,INCOMING
N608 (B10),N53 (B1),3237691490.0,1,INCOMING
N55 (B4),N55 (B1),2000000000.0,1,INCOMING
N56 (B4),N56 (B1),30607583500.0,15,INCOMING
N4977 (B17),N57 (B1),1400000000.0,1,INCOMING
N4978 (B4),N58 (B1),6006205600.0,2,INCOMING
N4978 (B4),N58 (B1),6006205600.0,2,INCOMING
N4979 (B5),N59 (B1),2094232140.0,2,INCOMING
N4980 (B7),N59 (B1),4416300000.0,1,INCOMING
N4981 (B24),N60 (B1),2948414158.0,4,INCOMING
N4981 (B24),N60 (B1),2948414158.0,4,INCOMING
N4982 (B4),N61 (B1),940916079.0,2,INCOMING
N4983 (B7),N61 (B1),231682155.0,1,INCOMING
N4984 (B4),N62 (B1),2000000000.0,1,INCOMING
N4985 (B4),N61 (B1),3857894370.0,2,INCOMING
N4986 (B3),N63 (B1),400000000.0,1,INCOMING
N64 (B4),N64 (B1),5000000000.0,1,INCOMING
N4987 (B4),N65 (B1),354039840.0,1,INCOMING
N4967 (B9),N65 (B1),235318320.0,1,INCOMING
N4988 (B10),N66 (B1),248388000.0,1,INCOMING
N4989 (B4),N67 (B1),500000000.0,1,INCOMING
N4990 (B5),N67 (B1),1368572296.0,1,INCOMING
N4991 (B9),N68 (B1),572176000.0,1,INCOMING
N4992 (B4),N69 (B1),1343056300.0,3,INCOMING
N4993 (B4),N70 (B1),6500000000.0,1,INCOMING
