entity,in_degree,out_degree,total_degree
N4929 (B2),0.0,1.0,1.0
N4930 (B3),0.0,1.0,1.0
N4931 (B4),0.0,1.0,1.0
N2411 (B5),0.0,3.0,3.0
N5 (B4),0.0,1.0,1.0
N6 (B4),0.0,1.0,1.0
N4932 (B4),0.0,1.0,1.0
N4933 (B6),0.0,1.0,1.0
N4934 (B3),0.0,2.0,2.0
N4935 (B3),0.0,1.0,1.0
N4936 (B7),0.0,2.0,2.0
N12 (B8),0.0,1.0,1.0
N4937 (B4),0.0,4.0,4.0
N4938 (B9),0.0,1.0,1.0
N14 (B3),0.0,1.0,1.0
N15 (B10),0.0,1.0,1.0
N4939 (B4),0.0,1.0,1.0
N15 (B11),0.0,1.0,1.0
N4940 (B12),0.0,1.0,1.0
N4941 (B3),0.0,1.0,1.0
N15 (B13),0.0,1.0,1.0
N3984 (B14),0.0,4.0,4.0
N4942 (B15),0.0,1.0,1.0
N17 (B11),0.0,1.0,1.0
N4943 (B3),0.0,1.0,1.0
N4944 (B16),0.0,2.0,2.0
N4945 (B17),0.0,1.0,1.0
N4946 (B4),0.0,1.0,1.0
N4947 (B18),0.0,1.0,1.0
N23 (B4),0.0,3.0,3.0
N23 (B19),0.0,1.0,1.0
N24 (B14),0.0,1.0,1.0
N4948 (B9),0.0,1.0,1.0
N26 (B4),0.0,1.0,1.0
N4949 (B11),0.0,1.0,1.0
N4950 (B4),0.0,1.0,1.0
N4751 (B14),1.0,5.0,6.0
N4951 (B4),0.0,1.0,1.0
N4952 (B4),0.0,2.0,2.0
N113 (B4),1.0,1.0,2.0
N31 (B20),0.0,2.0,2.0
N4953 (B21),0.0,1.0,1.0
N4954 (B21),0.0,1.0,1.0
N33 (B4),1.0,2.0,3.0
N4955 (B3),0.0,1.0,1.0
N4956 (B3),0.0,1.0,1.0
N34 (B7),0.0,1.0,1.0
N35 (B3),0.0,1.0,1.0
N35 (B4),0.0,1.0,1.0
N4957 (B16),0.0,4.0,4.0
N4958 (B10),0.0,1.0,1.0
N4959 (B4),0.0,2.0,2.0
N38 (B4),0.0,1.0,1.0
N39 (B4),0.0,2.0,2.0
N4960 (B3),0.0,1.0,1.0
N4961 (B10),0.0,2.0,2.0
N42 (B9),0.0,4.0,4.0
N4962 (B10),0.0,1.0,1.0
N4963 (B13),0.0,1.0,1.0
N4964 (B3),0.0,1.0,1.0
N4965 (B17),0.0,1.0,1.0
N4966 (B22),0.0,1.0,1.0
N46 (B3),0.0,1.0,1.0
N46 (B18),0.0,1.0,1.0
N1424 (B14),1.0,1.0,2.0
N4967 (B9),0.0,10.0,10.0
N47 (B4),0.0,1.0,1.0
N4968 (B16),0.0,1.0,1.0
N48 (B4),0.0,1.0,1.0
N4969 (B22),1.0,3.0,4.0
N50 (B4),0.0,2.0,2.0
N4970 (B5),0.0,2.0,2.0
N52 (B23),1.0,1.0,2.0
N52 (B3),0.0,1.0,1.0
N4971 (B11),0.0,2.0,2.0
N4972 (B10),0.0,1.0,1.0
N4973 (B13),0.0,7.0,7.0
N4974 (B14),0.0,3.0,3.0
N4975 (B10),0.0,2.0,2.0
N4976 (B10),0.0,1.0,1.0
N53 (B20),0.0,1.0,1.0
N608 (B10),0.0,4.0,4.0
N55 (B4),0.0,1.0,1.0
N56 (B4),5.0,5.0,10.0
N4977 (B17),0.0,2.0,2.0
N4978 (B4),0.0,2.0,2.0
N4979 (B5),0.0,2.0,2.0
N4980 (B7),0.0,2.0,2.0
N4981 (B24),0.0,2.0,2.0
N4982 (B4),0.0,1.0,1.0
N4983 (B7),0.0,1.0,1.0
N4984 (B4),0.0,1.0,1.0
N4985 (B4),1.0,2.0,3.0
N4986 (B3),0.0,1.0,1.0
N64 (B4),0.0,1.0,1.0
N4987 (B4),0.0,1.0,1.0
N4988 (B10),0.0,1.0,1.0
N4989 (B4),0.0,1.0,1.0
N4990 (B5),0.0,1.0,1.0
N4991 (B9),0.0,5.0,5.0
N4992 (B4),0.0,1.0,1.0
N4993 (B4),0.0,1.0,1.0
N71 (B4),0.0,1.0,1.0
N4994 (B3),0.0,1.0,1.0
N72 (B4),1.0,1.0,2.0
N72 (B3),0.0,2.0,2.0
N4995 (B3),1.0,2.0,3.0
N4996 (B5),0.0,1.0,1.0
N4997 (B3),0.0,1.0,1.0
N75 (B4),1.0,1.0,2.0
N4997 (B4),0.0,1.0,1.0
N4998 (B3),0.0,1.0,1.0
N4999 (B3),0.0,1.0,1.0
N76 (B14),0.0,1.0,1.0
N4999 (B17),0.0,2.0,2.0
N5000 (B25),0.0,2.0,2.0
N5001 (B7),0.0,1.0,1.0
N76 (B5),0.0,1.0,1.0
N5002 (B3),0.0,1.0,1.0
N1201 (B14),1.0,5.0,6.0
N5003 (B7),0.0,1.0,1.0
N76 (B4),0.0,1.0,1.0
N5004 (B3),0.0,1.0,1.0
N5005 (B26),0.0,1.0,1.0
N5006 (B26),0.0,1.0,1.0
N78 (B4),0.0,1.0,1.0
N5007 (B8),0.0,1.0,1.0
N5008 (B14),0.0,1.0,1.0
N5009 (B3),0.0,2.0,2.0
N5010 (B3),0.0,1.0,1.0
N5011 (B24),0.0,2.0,2.0
N84 (B4),0.0,1.0,1.0
N84 (B17),0.0,1.0,1.0
N84 (B27),0.0,1.0,1.0
N84 (B28),0.0,1.0,1.0
N84 (B3),0.0,1.0,1.0
N85 (B4),1.0,1.0,2.0
N5012 (B9),0.0,2.0,2.0
N5013 (B16),0.0,2.0,2.0
N5014 (B7),0.0,1.0,1.0
N88 (B4),0.0,1.0,1.0
N5015 (B4),1.0,1.0,2.0
N89 (B4),1.0,1.0,2.0
N5016 (B4),0.0,1.0,1.0
N90 (B9),0.0,1.0,1.0
N91 (B4),0.0,1.0,1.0
N5017 (B29),0.0,1.0,1.0
N5017 (B10),0.0,1.0,1.0
N93 (B30),0.0,1.0,1.0
N5018 (B4),0.0,1.0,1.0
N5019 (B15),0.0,1.0,1.0
N5020 (B15),0.0,1.0,1.0
N5021 (B4),0.0,1.0,1.0
N97 (B3),0.0,1.0,1.0
N97 (B31),0.0,1.0,1.0
N5022 (B4),0.0,3.0,3.0
N5023 (B4),0.0,1.0,1.0
N100 (B10),0.0,1.0,1.0
N101 (B32),0.0,1.0,1.0
N5024 (B4),0.0,1.0,1.0
N5025 (B4),0.0,1.0,1.0
N103 (B5),0.0,1.0,1.0
N2451 (B3),0.0,2.0,2.0
N5026 (B3),0.0,3.0,3.0
N4860 (B18),1.0,1.0,2.0
N5027 (B4),0.0,1.0,1.0
N5028 (B30),1.0,1.0,2.0
N106 (B17),0.0,1.0,1.0
N107 (B6),0.0,1.0,1.0
N5029 (B4),0.0,1.0,1.0
N5030 (B4),0.0,1.0,1.0
N5031 (B11),0.0,1.0,1.0
N2619 (B22),0.0,3.0,3.0
N5032 (B10),1.0,2.0,3.0
N5033 (B14),0.0,2.0,2.0
N111 (B4),0.0,1.0,1.0
N5034 (B3),0.0,1.0,1.0
N5035 (B4),0.0,1.0,1.0
N5036 (B5),0.0,1.0,1.0
N5037 (B5),0.0,1.0,1.0
N5038 (B5),0.0,1.0,1.0
N5039 (B17),0.0,1.0,1.0
N5040 (B17),0.0,1.0,1.0
N117 (B7),0.0,1.0,1.0
N117 (B3),0.0,1.0,1.0
N117 (B4),1.0,1.0,2.0
N117 (B11),2.0,1.0,3.0
N5041 (B22),0.0,2.0,2.0
N5042 (B4),0.0,1.0,1.0
N5043 (B3),0.0,1.0,1.0
N120 (B3),0.0,1.0,1.0
N121 (B4),0.0,1.0,1.0
N5044 (B3),0.0,1.0,1.0
N5045 (B4),0.0,1.0,1.0
N5046 (B4),0.0,1.0,1.0
N5047 (B18),0.0,1.0,1.0
N5048 (B18),0.0,1.0,1.0
N5049 (B18),0.0,8.0,8.0
N5050 (B18),0.0,1.0,1.0
N5051 (B18),0.0,1.0,1.0
N5052 (B18),0.0,1.0,1.0
N5053 (B18),0.0,2.0,2.0
N124 (B4),0.0,1.0,1.0
N124 (B5),0.0,1.0,1.0
N5054 (B3),0.0,1.0,1.0
N5055 (B16),0.0,2.0,2.0
N5056 (B4),0.0,1.0,1.0
N127 (B4),0.0,1.0,1.0
N5057 (B5),0.0,2.0,2.0
N129 (B7),0.0,1.0,1.0
N5058 (B33),0.0,1.0,1.0
N130 (B4),0.0,1.0,1.0
N131 (B4),4.0,4.0,8.0
N5059 (B4),0.0,3.0,3.0
N5060 (B24),0.0,1.0,1.0
N5061 (B18),0.0,1.0,1.0
N5062 (B4),0.0,1.0,1.0
N5063 (B17),0.0,2.0,2.0
N136 (B34),0.0,1.0,1.0
N137 (B11),0.0,1.0,1.0
N5064 (B3),0.0,1.0,1.0
N5065 (B35),0.0,1.0,1.0
N5066 (B3),0.0,1.0,1.0
N5067 (B3),0.0,1.0,1.0
N5068 (B10),0.0,2.0,2.0
N143 (B11),0.0,1.0,1.0
N5069 (B3),0.0,2.0,2.0
N144 (B5),0.0,3.0,3.0
N145 (B3),0.0,1.0,1.0
N5070 (B36),0.0,5.0,5.0
N146 (B3),0.0,1.0,1.0
N5071 (B18),0.0,16.0,16.0
N5072 (B4),0.0,1.0,1.0
N149 (B17),0.0,1.0,1.0
N149 (B11),0.0,1.0,1.0
N149 (B18),0.0,1.0,1.0
N5073 (B9),0.0,1.0,1.0
N5074 (B3),0.0,1.0,1.0
N5075 (B13),0.0,1.0,1.0
N5076 (B13),0.0,1.0,1.0
N5077 (B13),0.0,1.0,1.0
N5078 (B13),0.0,1.0,1.0
N152 (B4),0.0,1.0,1.0
N5079 (B14),0.0,4.0,4.0
N5080 (B17),0.0,2.0,2.0
N153 (B4),1.0,1.0,2.0
N154 (B3),0.0,1.0,1.0
N5081 (B16),0.0,1.0,1.0
N156 (B4),0.0,1.0,1.0
N157 (B4),0.0,1.0,1.0
N5082 (B28),0.0,1.0,1.0
